"mz","rt","peaktable_1_9a1a6818f2d5c0a846f9ec646e2fafc6 intensity","peaktable_2_8d59aa14e898d651b1d995a612c7bd53 intensity"
200.004493713379,27.8414265,99674.9790242536,101428.624414347
200.023101806641,7.1704302,163274.204185547,114035.794724682
200.026203155518,22.989029,179611.05047472,NA
200.042449951172,27.2513595,NA,61274.631296191
200.059204101562,25.415903,27751319.6654667,NA
200.05950164795,0.94614265,4891153.15997865,6403879.53114757
200.078903198242,9.2940634,97071.1700428691,113540.819222028
200.095672607422,11.982426,262184.85274309,305341.769786624
200.20087814331,0.856567685,2858276.41484887,3065672.78793741
200.996643066406,15.653537,441814.864733677,487409.632004061
201.06282043457,12.6135955,1951511.65538152,1855969.0376213
201.099182128906,17.705231,153555.840424938,116888.038854812
201.163864135742,9.81071445,496000.213812082,613341.569543305
201.204460144043,0.85872892,547834.466029742,479789.259306323
201.996978759766,4.12860425,68326.1270981596,NA
202.000038146972,15.6105955,72628.460453319,69139.7603906716
202.055526733398,18.366516,171868.956329175,185533.187868278
202.092544555664,13.084569,364611.916443443,130698.884770897
202.128799438477,19.1963965,127053.288715539,298250.110776559
202.216552734375,0.978295285,9283489.65156168,11405626.5350701
202.969367980957,6.6814208,45131.4667864505,52612.1862863079
202.994293212891,4.0570928,181024.963009459,96953.8928874593
203.035041809082,0.41739973,67157.1900716818,NA
203.112747192383,12.0613045,770543.196798756,1947790.04186905
203.179611206055,9.8386513,407282.435246603,NA
203.220039367675,0.984387015,1281317.86610633,1204234.84711535
204.052291870117,16.3703955,166291.437942645,74357.1373408307
204.113723754883,18.561012,283443.887187924,86245.6128716309
204.116073608398,17.8370935,NA,234987.798060583
204.912876129151,25.4841275,998363.799982234,995892.82036149
204.953811645508,25.351071,526763.443262832,NA
204.967559814453,0.7847805,189712.038444408,NA
204.995147705078,10.244931,377543.91442605,116700.559842182
205.110260009766,18.297362,259435.233059175,309076.657365923
205.122447967529,11.8403991,169464.217143861,508692.693149784
205.984252929688,8.0603298,328231.574797678,118927.208972365
206.077514648438,9.1653085,227024.504018011,435757.505000632
206.989303588867,26.053193,81156.689315739,87381.0467155254
206.991729736328,9.6441556,215647.33473179,739860.069332775
207.014514923096,0.791562875,330145.703372801,440134.333965723
207.078090667724,3.1442507,73976.4709457807,63712.3531874883
207.080841064453,25.762931,NA,56439.7084462295
207.984016418457,6.5723341,296615.722160286,265367.420697536
207.990505218506,11.52568475,183619.342641546,209589.611601681
208.013732910156,0.78910307,114801.524011231,NA
208.07502746582,4.41340285,81857.4510479253,89600.9273097629
208.181015014648,0.64655388,NA,260219.700849248
208.990798950195,9.52874295,181772.672788161,339841.98058358
209.201179504395,8.4349887,105778.406608031,156277.30117227
210.050247192383,0.84096833,549347.7115018,NA
210.110008239746,16.8126805,240313.262393572,340952.071117604
211.113552093506,0.907493805,181347.739938195,186751.363773583
211.216995239258,11.573105,169938.585163487,79821.1212938382
212.037948608398,23.759613,NA,239804.129622419
212.11840057373,0.84400841,NA,287598.259021862
212.220375061035,24.521223,473628.799952369,464159.42984369
212.985893249511,26.7023055,89954.9973290039,63075.4665677809
213.109855651855,0.870657415,164954.052081622,105224.887333644
213.232650756836,0.98474728,NA,69587.0551573176
214.006328582764,0.860367765,164681.74842501,57436.1977517156
214.040176391602,0.47146204,109996.13317046,62396.8247425722
214.062465667724,14.482502,2041639.48942409,1160142.94727062
215.125640869141,5.1695183,99756.9468077808,86359.8490257413
215.179450988769,9.82800305,904690.603556043,889459.922261536
215.983543395996,0.719090215,136409.939861557,89013.476536932
216.019378662109,16.83513975,NA,91686.5099098829
216.027496337891,4.751924,47760.0622418971,79925.4234821953
216.038135528565,0.26342156,NA,67308.2294675684
216.090599060059,12.778225,2133802.04446498,174091.62721909
216.128929138184,0.8755453,124450.818030158,NA
216.195877075195,0.83664621,80820.3780190579,NA
216.981349945069,0.7234125,130116.340718906,94376.5444517847
217.011825561523,28.945307,NA,80370.4185030495
217.019485473633,7.06775155,103406.310482134,125595.822050014
217.041366577148,18.997546,203360.235181285,264088.923517985
217.050811767578,0.38672985,NA,79458.9289843001
217.074829101562,21.188078,375929.147130227,209781.032863818
217.080947875977,0.81357862,NA,194995.637148338
217.094161987305,17.331649,NA,103496.330670646
217.104461669922,17.7060445,243750.828136703,300716.970882962
217.104888916016,12.885562,253153.343469997,2254065.42831746
217.11604309082,18.99016,256201.743003756,260534.762671982
217.19507598877,7.16155665,251783.521218985,430358.688122616
218.040252685547,0.7631701,67234.0831078186,NA
218.070156097412,14.3555925,201582.122407453,433620.435765936
218.106460571289,12.764731,1513984.22574943,292484.694777747
218.186401367188,0.9014783,87580.008431442,NA
218.211547851562,0.889076425,1491262.61878338,1554338.93625943
218.936660766602,18.598252,155591.477308126,381719.637784669
218.943229675293,0.78389271,2740996.46041334,425432.598415541
218.9658203125,0.7847805,425285.632987706,NA
219.030166625977,23.929091,532668.505856256,289353.217482771
219.03874206543,0.72557347,49598.853220628,41084.0920142516
219.073226928711,17.8134225,NA,198624.179315268
219.090236663819,12.4817705,500231.241749436,120052.833287321
219.096900939942,0.81998719,638085.552073855,852120.241044469
219.109405517578,11.631912,111288.622019374,153509.245569827
219.109786987305,18.517791,89214.9402376867,355056.897992794
219.126770019531,13.987783,164928.658961628,216247.376586657
219.214950561523,0.872818535,167887.027246215,212089.121747
220.093765258789,20.721005,322035.176689693,443534.474873884
220.100116729736,0.785542035,NA,63890.1533097967
220.130172729492,24.616309,124414.096997926,NA
220.909336090088,24.5925375,561028.745746649,NA
220.941535949707,0.784336605,359401.409262818,411937.544359592
220.97102355957,16.1723535,507904.112794214,756135.605018888
221.12321472168,18.166359,NA,223738.484477344
221.15364074707,3.8929138,140241.463944072,226901.959087781
222.0048828125,14.402816,707921.791135309,1060970.62255316
222.055038452148,14.401127,3132940.4891738,3088807.9334102
222.091461181641,14.385528,1055100.29914036,1212386.76132188
222.907440185547,22.048967,287899.468317405,227406.888530511
222.966430664062,25.533163,112386.967215464,52709.6038406982
222.988433837891,0.79834525,NA,198548.296982234
223.008003234864,17.9407865,141709.050823395,179014.104795239
223.010650634766,8.0646516,174867.869882519,319515.476164207
223.058471679688,9.38050565,236095.954320001,181817.208394917
223.094711303711,6.7341349,80950.7234180735,143387.42996843
223.13134765625,0.11873508,648857.910384258,NA
223.141632080078,0.36121211,571205.885993487,131823.656999117
223.156524658203,0.594607045,494159.50627726,419526.445190114
223.161952972413,0.51679854,709764.82785475,487107.048598294
223.175773620605,0.683002075,1314898.42239248,204841.709087288
223.18684387207,1.6598756,1286991.04827509,475546.302174113
223.198020935059,2.5038949,696862.630790062,247759.091326905
223.207977294922,4.65240115,639550.391981488,666731.142489992
223.214065551758,15.777252,11422078.8829279,112323.630538202
223.222259521484,12.980482125,412065.198959309,214467.615622299
223.240539550781,0.990807,NA,475073.942156285
223.255790710449,1.1506111,NA,442977.509007844
223.270095825195,1.4288116,NA,522138.025854327
223.288009643555,1.9442756,NA,802141.641373171
223.298301696777,2.025619,NA,258929.57783776
223.323513031005,2.54073015,NA,290472.597520196
223.33194732666,15.1589875,NA,5613420.08814753
223.340866088867,17.827444,NA,1347089.96670419
223.35306930542,19.8794435,NA,864881.096554001
223.363677978516,24.980292,NA,948592.286240696
223.376220703125,8.9704774,NA,499675.721022833
223.384994506836,6.3347983,NA,631194.350257942
223.39461517334,6.967511,NA,542151.943223997
223.399597167969,26.398312,NA,1238893.29499686
223.422161102295,28.115173,NA,122215.626633634
223.425514221191,27.485212,NA,1756562.28588227
223.443023681641,29.9134,NA,883036.797567325
223.883987426758,24.5754755,NA,216870.941567107
224.025985717773,20.8595965,348298.089321306,479592.148222492
224.051193237305,0.19697165,60472.9600031944,NA
224.059295654297,27.883571,44773.2708811849,NA
224.088096618652,4.4516294,122404.660560486,151110.772764735
224.128189086914,0.742665265,108066.152727261,68217.0818985667
224.198425292969,0.99686495,683590.832592396,263986.278443871
225.002510070801,23.546372,NA,272618.458155236
225.010223388672,7.6540498,220983.182480861,170640.394086899
225.029251098633,0.6421507,63900.4674335961,NA
225.034736633301,0.77181443,201540.91799317,NA
225.058265686035,18.009509,267181.404350627,311619.375056363
225.075904846191,29.054867,46495.3004073609,NA
225.079528808594,0.19697165,43787.2967841761,NA
225.091293334961,4.7670786,NA,211170.00002604
225.108535766602,14.255865,1197395.65430155,1486488.50066622
225.196090698242,0.98474728,NA,54319.5398203815
225.232322692871,24.11062,691767.368961997,395614.012956557
225.997772216797,4.5594736,70337.2809384377,62967.1779545854
226.022827148438,23.553066,235895.990809676,225991.451167849
226.047916412354,4.6054811,168503.368295929,90681.502786
226.08438873291,0.88418965,94187.3709731855,NA
226.10905456543,8.6061155,134729.864085278,116425.898408646
226.111801147461,8.2730974,55704.3754904346,120942.512077734
226.120025634766,11.807037,NA,6728714.67113434
226.987716674805,17.078213,247050.680065638,100448.537060337
227.10612487793,7.7296869,234142.467737779,185417.367597679
227.211807250977,0.85393485,83983.6061183254,NA
228.021774291992,23.5084545,NA,197927.114928511
228.232040405273,9.0844713,122624.47820311,111621.656763635
228.971420288086,3.9866978,231158.448019672,212135.545851186
229.081184387207,0.912955365,212556.082940362,576717.135081042
229.141204833984,12.758763,295069.095178833,305235.953658429
229.154781341553,0.751309575,136231.734814318,133267.794051496
229.194976806641,9.82584205,535997.363698783,747131.848306714
229.202220916748,0.914394475,195296.838199712,143873.316253034
230.144409179688,28.225018,77662.813304649,75180.3744585891
230.186096191406,0.89283383,83619.1663409197,NA
230.247985839844,1.9298787,205967.78684455,455468.335749615
231.066482543945,7.48764805,61484.3040736084,98987.016002357
231.120254516602,0.85393485,410185.531680667,NA
233.05387878418,7.8442235,68664.6310177266,NA
233.064819335938,0.55735518,NA,70005.8994700519
233.078689575195,0.807823845,876186.949190342,1043275.52983593
233.093460083008,13.966282,829846.99677332,121434.108317895
233.189949035645,2.4194177,200516.574746568,NA
233.226554870605,9.8432229,413700.421579964,479287.128492471
233.914703369141,4.94996405,368322.266887576,414110.274539536
234.18522644043,23.9687335,83079.7587760835,413743.814356868
234.917190551758,0.78389271,NA,564665.945486799
234.939300537109,4.73454009,174327.861019115,NA
235.024871826172,25.47209,270584.214212093,NA
235.070755004883,0.77613635,162092.055506611,NA
235.12158203125,16.3733095,150114.308284878,121447.030231653
235.912734985352,15.9622857,75139.8571134203,212913.350448117
236.072296142578,23.424711,290755.46309787,287841.714611008
236.167724609375,17.164655,272367.735449528,304186.067368597
236.945083618164,0.81071352,261779.333233518,NA
237.100814819336,20.197515,378526.791639619,458581.17088802
237.137084960938,14.1586115,158448.41773105,793338.375502507
237.170883178711,0.73291545,53473.7079178295,NA
237.232543945312,24.85814,NA,228220.520183214
237.91132736206,13.26520044,94873.10986611,114432.879194302
238.93701171875,19.948414,734173.510234262,296090.435841811
238.942962646484,29.476569,NA,114631.16669074
239.070404052734,16.684899,111592.917229341,231165.042342893
239.106628417969,15.837762,476505.417377796,1356468.91073622
239.149276733398,0.75884813,68179.0802430565,NA
239.247947692871,24.503934,310884.614980687,NA
240.015274047852,25.762931,115672.996245236,108335.440999391
240.027725219727,4.44193595,194111.655018152,105238.227032513
240.065658569336,6.6933535,131090.306878917,221347.379605219
240.231994628906,17.436167,291194.181247496,111418.637814375
240.918029785156,19.027802,234363.065753663,218015.140347191
240.928588867188,17.180224,NA,249752.345480851
240.934066772461,23.047911,261247.987138377,390484.114067808
240.979263305664,10.800995,NA,114619.405221569
240.987289428711,5.25717425,71650.4583565365,80993.8514301442
241.025466918945,2.52474495,139839.671844907,100669.98707586
241.035999298096,12.9950445,1516703.79831753,1504403.96770313
241.04919052124,14.400405,293874.412187457,345703.335363277
241.04956817627,8.30945095,258617.023996314,158339.973740623
241.085784912109,11.710132,7224776.81558861,3009033.77534946
241.104797363281,0.877140765,140867.686681452,193303.097113463
241.122421264648,2.3324191,7184986.54688225,243993.445905363
241.154632568359,0.7547254,694379.679047663,627951.688012797
241.177062988281,24.815127,178922.580451394,276039.826683508
241.23551940918,1.23064895,481523.61095799,426336.925688976
242.022937774658,27.500444,90988.378447153,131334.478120552
242.039077758789,16.74757,116912.33033093,134943.396411528
242.039527893067,19.8626505,NA,321705.400074369
242.071365356445,0.39278916,NA,89677.0160739738
242.089096069336,15.1537355,746406.613271733,1037028.94986097
242.089553833008,16.339129,1199101.04031093,NA
242.12548828125,13.67772,310623.208269204,571212.799555294
242.158248901367,0.75020356,80211.152204718,NA
242.944091796875,24.598403,NA,263607.057853592
242.961975097656,0.819751365,597309.52645835,766775.589018715
243.119110107422,17.047432,836507.555148713,267386.576211534
243.119693756104,0.863050815,585926.992222671,276171.394909179
243.210739135742,9.8236811,1516996.90462741,1508564.26444579
244.060432434082,20.1897595,NA,467974.034712886
244.079055786133,0.75020356,48975.3199695416,NA
244.139297485352,13.356862,196611.665083419,676284.924891527
244.953800201416,9.22058725,226741.41986857,269606.734108793
245.078842163086,17.376749,135450.638222895,153034.266710151
245.099449157715,0.81614145,57845.5554947924,41071.3545002469
245.11540222168,17.436167,278154.154529655,106593.143370633
245.136032104492,0.863050815,426513.076273581,424144.132916638
245.140140533447,16.7151535,493784.220231109,309878.883355537
245.957496643066,23.709442,223365.184248737,214363.553909765
245.965850830078,0.56799915,NA,63092.7064165594
246.022247314453,0.74219818,NA,53732.1950771554
246.136795043945,18.057453,476667.020042376,493315.189228573
246.92333984375,25.4544625,3924201.15242453,3433771.40343735
246.950881958008,19.5042295,650981.397555955,1250441.83751345
246.981597900391,25.510989,215524.050303169,NA
247.003997802734,12.280653,4036694.45847936,3071739.75206267
247.050399780273,24.806483,507807.825172512,466309.506858286
247.115447998047,0.7631701,64630.5442141701,NA
247.128044128418,0.90317174,184989.220189611,428762.379488625
247.92822265625,24.17113,455436.130886949,NA
248.00422668457,17.4001165,724794.428923361,472224.068045859
248.004699707031,14.6221835,663244.790346576,334476.691848164
249.001495361328,14.284735,1205741.51426345,1565456.41007814
250.118408203125,1.3302125,261153.633789973,733417.324572927
250.177871704102,6.3994491,177004.064855802,143096.357570159
250.941162109375,7.7102374,151362.841139016,163266.385202041
251.04680633545,3.63481185,229975.095974192,NA
251.96964263916,25.1283245,454284.209111969,263565.666302588
252.019577026367,26.099547,71722.6350743192,99541.7063064805
252.124313354492,23.31535,297959.45209945,252758.963118752
252.138275146484,1.0879375,NA,275630.261145006
252.268402099609,15.262919,197568.715776982,895616.973030917
252.939208984375,26.470084,702763.463722051,153932.276363439
252.939697265625,7.2304816,196647.777713304,291679.603275019
253.060794830322,0.756886515,181757.257453811,261866.472518065
253.141082763672,24.672497,221656.625585867,NA
254.283950805664,16.352095,2405266.61290035,1439201.89939126
254.82341003418,24.551478,546282.156931197,45294.6886057713
254.937644958496,25.9858085,94295.2708514022,73807.5144690526
254.982711791992,6.5642304,59139.2624402894,110289.55420326
254.996643066406,3.92020975,89240.0420057737,76947.9979810488
