"mz","rt","peaktable_1_10e699565419f9caf88e774674661338 intensity","peaktable_2_35140d56ebc2345ed69030c3baf5d516 intensity"
200.004837036133,28.222667,67253.5311631847,71591.771917828
200.023101806641,8.7321364,126537.526293514,185117.757371715
200.034851074219,3.9919422,NA,67843.3256270984
200.042465209961,1.061343505,37099.7764174511,57595.1469613182
200.059371948243,19.901882,10631713.5117077,7563336.18932236
200.059509277344,0.96969741,4148131.90717066,2739607.69580101
200.078903198242,8.0317027,67051.1020854706,264691.672244292
200.095977783203,11.705947,318169.819201403,85738.0250477697
200.200908660889,0.851306945,3002625.33348746,3137686.55390253
200.996650695801,15.044774,576468.241986062,720072.628452185
201.06282043457,13.514414,287885.546183908,238027.208126013
201.099182128906,16.546728,447172.892746893,514995.821849995
201.160049438477,0.79349554,43813.2131840751,NA
201.20447921753,0.85346791,552060.279112167,534949.608409214
202.000076293945,2.134661,56241.6018952735,166692.972799686
202.063827514648,17.981674,167106.192438288,78401.2572474201
202.092559814453,14.27014,131700.194961942,198667.213722841
202.128814697266,17.103186,218756.313022488,246402.48865348
202.143924713134,0.74944643,3223765.1631634,3133138.32055449
202.216644287109,0.981415615,8569113.6575318,13119038.5700831
202.969421386719,0.93180342,322131.2382357,5378810.12225084
202.994293212891,3.91414265,157148.881593585,137676.378381023
203.035453796386,0.553617455,63608.1193769422,NA
203.052810668945,0.75027428,63226.9894162726,NA
203.112747192383,10.5497785,830582.798343275,106098.727382987
203.14737701416,0.7516074,342253.197251571,350174.801326389
203.220054626465,0.97886685,1228867.60994951,1640614.23949767
204.052310943604,14.6687785,470191.86455159,106846.289916035
204.089065551758,17.466844,NA,249999.312802266
204.113739013672,18.6481045,256246.47214886,252801.186235535
204.174789428711,0.964630855,174986.99232512,173373.569375467
204.913215637207,25.498843,911834.976183043,895236.334045312
204.954208374023,25.264455,610573.355428108,NA
204.967559814453,0.78907263,NA,379415.503386609
204.993980407715,13.269106475,98934.2313244652,212436.689588206
204.995162963867,9.242002,110111.586735562,104323.288393681
205.110610961914,19.109748,121565.302361065,315842.416059374
205.946990966797,25.476239,288226.584954143,NA
205.984252929688,9.6305653,258728.184068743,250203.186036769
206.077514648438,7.4714287,192581.252128031,216861.135394149
206.9697265625,24.979195,195917.978576491,NA
206.989303588867,25.669172,104042.140633834,432897.414558991
206.992080688477,9.250542,79061.5870627751,372680.552650315
207.014492034912,0.79128424,692221.41484722,691071.534791865
207.078460693359,2.79918105,70097.872034057,108826.788951567
207.085647583008,4.0005855,105112.940219831,NA
207.984024047852,8.7297258,210045.750654621,391594.202801733
207.988540649414,0.7805292,332739.221760606,NA
208.01383972168,0.79344499,222511.453611319,293497.817516344
208.075042724609,3.6041281,94184.6007062076,104274.58935433
208.169715881348,0.87561581,84956.3500944579,NA
208.181015014648,1.9299997,180643.114738658,135906.076639388
208.990814208984,9.9408906,136422.879298395,140761.640742914
209.184349060059,0.43732469,NA,42022.4156067817
209.201393127441,7.5838238,108148.10330603,378089.734849449
210.017562866211,0.80469795,121329.392389275,105672.783763181
210.050308227539,0.807852965,737432.891382216,200180.440006708
210.110290527344,17.298778,259798.708524572,502365.417111546
211.113311767578,0.8669718,138900.81637497,NA
211.217025756836,15.855188,855833.294212512,52913.9947215914
212.034286499023,0.74595206,63904.7547282567,NA
212.037155151367,24.244433,256605.18397031,63736.9678825934
212.139526367188,0.880531915,132215.359434783,167149.754843802
212.220394134521,24.494178,330663.226349519,477407.455226726
212.986305236816,15.8348013,91657.8460351255,58864.8896045505
213.10986328125,0.858921255,106402.683342121,131717.722192484
214.006561279297,0.80646188,394841.197733037,83616.5875457333
214.040176391602,0.95464797,62374.8087810941,99351.0389749684
214.062469482422,12.008496,163303.587919588,286366.129725421
214.252983093261,1.96571575,193632.916089163,161419.835747379
215.125640869141,7.2948882,125439.345502846,157426.011737301
215.179473876953,9.82581795,596084.892512499,657821.837986102
215.96826171875,0.81078385,52376.4701185436,NA
215.98363494873,0.713363385,92003.9125270532,72450.5366839707
216.019393920898,0.14039295,52249.9025749331,NA
216.0283203125,6.6082897,57755.258974626,50961.7530402913
216.038139343261,0.26571073,89783.120096662,79301.537148365
216.063453674317,0.76172125,40525.2279844028,52541.5307869523
216.090606689453,13.244624,810505.173996544,867221.578590004
216.128936767578,0.85832726,128210.48483043,NA
216.981330871582,0.70877355,87210.7091462162,75477.4231247057
217.019470214844,23.838153,110875.183425078,510959.835676173
217.041427612305,19.11827,160411.804330777,203374.433556683
217.050811767578,0.31373956,95735.9686419668,NA
217.074829101562,18.7240145,414427.910376564,474471.620811556
217.104873657227,3.7213171,258294.950992491,295388.418592712
217.116050720215,19.927835,218306.895433468,268956.982696406
218.009689331055,0.36314515,NA,71705.4645788686
218.070159912109,12.1450675,884890.850022158,712880.429734225
218.106483459473,13.646582,1565445.76211056,1737997.39222034
218.186477661133,0.87301076,333550.005878179,331672.037620164
218.211559295654,0.869726495,1485182.54591052,1401785.83385359
218.936660766602,19.706202,238946.100837301,234952.577145477
218.943229675293,0.78907263,4594941.47695471,119628.670660541
219.030151367188,24.159829,272882.292678273,178023.535589887
219.090240478516,12.0704545,90013.4118638154,2527497.48019868
219.09693145752,0.79548385,522661.028402591,245317.619150636
219.109802246094,17.748279,90628.1741765681,262189.838177587
219.12678527832,15.1316625,1233766.44203053,1232528.59626844
219.214950561523,0.86540449,156374.982372951,165372.773436054
220.093765258789,21.1046345,544086.576413186,369770.776376958
220.130146026611,24.209856,197839.999301827,NA
220.178802490234,0.86264953,72727.0485905841,NA
220.941551208496,0.78494748,629564.087256348,718892.600562485
220.97102355957,15.403526,516781.321383067,583036.234991811
221.103588104248,0.75434521,503895.347039851,500114.859498962
221.123641967773,18.011864,NA,177768.967829172
221.153648376465,1.36177985,NA,72957.093393199
222.0048828125,12.094939,2500481.27646281,2461207.26664878
222.055053710938,13.123571,3788483.8784719,1549657.52679186
222.09147644043,12.613594,956698.59324092,1033811.30860595
222.107009887695,0.74281153,NA,50046.9520402488
222.185211181641,0.913575535,126216.579012639,159587.672602349
222.907325744629,22.669862,282949.303337796,333389.241513535
222.966445922852,28.1391585,89460.3150882352,NA
222.988388061523,0.79781735,230921.195700081,NA
223.008407592773,16.308015,239067.043003345,123645.728594953
223.010665893555,6.58749985,283488.649494422,192737.346836894
223.058479309082,9.0748377,245334.766093073,245546.807327334
223.0947265625,7.3100904,83387.522290372,97785.5690488473
223.135955810547,0.019373567,716787.660621676,NA
223.142547607422,0.56442282,81144.1035856149,NA
223.151306152343,0.45636953,486738.965128107,NA
223.161468505859,0.60764402,470251.478216142,358097.575757531
223.170738220215,0.865036625,433028.784519347,NA
223.186073303223,0.777791475,820843.421289843,333194.219333412
223.191795349121,1.22047219,880216.618602223,149528.536544173
223.20703125,2.320904,1151170.76873386,274482.120680621
223.215713500977,5.6360192,543254.31107827,249504.646480308
223.227081298828,25.774513,1738180.86728515,1288940.49692196
