"mz","rt","peaktable_1_b42ad67b5ffa65aaea420c60e1fab6b3 intensity","peaktable_2_54a6a55e44fb729a4104bfde9fdb6f9b intensity","peaktable_3_0f741699b76aff9fee4822748a201952 intensity","peaktable_4_46f664aac7a03c653f55ebe81c0750b7 intensity","peaktable_5_57332589ab361972997280ada9fa3ddf intensity"
200.004936218262,0.13094808,NA,NA,212889.758632292,NA,NA
200.023162841797,6.6703247,275447.586026837,175141.122776586,270170.677389471,308529.607150498,226709.503108071
200.059631347656,3.29476515,2072800.64713405,3860897.61475471,5106766.95613953,1880454.48666919,3828600.06906128
200.079368591309,6.66816365,NA,NA,NA,NA,95669.8425630588
200.096069335938,3.6167434,2703365.83276716,5990364.44700191,2487843.2686366,5481495.88531424,215359.699387311
200.20133972168,0.22603689,1400120.03949509,1317203.0255722,1407784.57899312,1275172.6903309,1462552.01148013
200.997016906738,0.8570673,1199994.47900687,1842073.84886664,1507463.70191367,1079977.13435797,1863466.33635008
201.002822875977,0.16120485,NA,NA,NA,210994.79090903,NA
201.062896728516,6.5709564,217710.539117764,378066.441243805,335397.952290799,333378.39600064,336329.41753626
201.073593139648,6.6184996,NA,183499.463489473,179680.987588546,200254.958858251,NA
201.099639892578,6.5752376,NA,NA,NA,NA,144754.26406124
202.092620849609,6.65303735,240210.34300254,NA,260220.417064202,131463.061374447,NA
202.216827392578,0.25628942,6192143.83646868,6229082.5277971,6029362.73696618,6314623.13573438,6144136.96855627
202.969512939453,0.20874822,90530.6661984995,2142279.97945353,2212445.1017074,2019083.1825893,129624.162258926
202.994369506836,0.4421413,203177.0535879,247902.802517849,153535.516448975,192168.821388998,272154.766087077
203.113189697266,6.5709156,463777.905293817,498811.566149567,416221.772391157,602935.825484826,564306.062933001
203.220123291016,0.2562915,694298.084898546,NA,672964.267877332,641615.070491082,771393.725752286
204.052734375,6.6271048,244909.591741173,270773.314103864,133593.08176578,251682.801562474,304484.7443259
204.913341522217,6.5471447,NA,NA,NA,716053.930567054,315593.362371153
204.995223999023,1.7474246,401695.967685354,368329.022543461,776766.584726873,2908986.88717182,512845.984785118
205.122528076172,1.3886881,NA,1303688.66163314,1020320.98873896,865325.681068314,NA
205.947448730469,6.5276959,672096.278511205,570668.123731286,NA,NA,547454.970287953
205.98469543457,6.63791005,125508.85645375,348691.285546768,365965.832154817,196914.57470046,129252.354809726
206.077816009521,0.4875244,624780.957895714,572900.047632162,692693.830479938,382933.624522756,319012.208857215
206.992172241211,4.4573976,445040.187650794,360603.896085023,2015992.6040058,1332044.01964104,373430.607239363
207.984115600586,6.62926435,101495.167080763,344320.887579916,314198.964330892,311012.68771155,372584.308280858
208.181076049805,0.0315412515,341874.380415999,288973.943789519,294160.695003104,370643.220962522,NA
208.99089050293,5.7021698,301685.712593466,320004.255626212,146101.755984655,290049.670002161,NA
210.110382080078,3.768057925,243563.324730999,238266.593465638,271161.963966151,480926.814178796,276319.293533146
212.118469238281,0.22603689,983897.97079264,1173078.78371067,858809.881728412,705810.999192817,523591.346476268
214.062927246094,6.6076748,933692.289794155,315467.994264013,207689.908243655,466923.754715519,240665.708312142
214.253368377685,6.6962573,NA,NA,150638.05072177,184617.738778783,NA
215.089309692383,1.3238564,407949.170463957,232356.267617877,367321.228035128,540398.900866114,586669.325584569
215.125732421875,6.6443932,194324.769946871,228763.919148939,242302.051625116,467167.606801281,314238.311130254
216.091064453125,6.5752378,207365.255481616,318077.083947634,540553.296898245,526236.683636356,495206.783197385
217.104965209961,4.3234115,1916884.4733131,4514545.91046751,4978434.31895928,4717166.93335687,4552083.68990583
218.070251464844,6.5968891,422873.370002397,190024.532954078,328110.288366789,643834.523898684,747139.996725167
218.106552124023,5.1619041,1107583.12080361,2079885.26278289,1585001.21509898,3892073.77013758,1467582.77386758
218.211688995361,0.2433448,648671.19078603,676501.352058225,NA,595396.864937925,683845.480857014
218.943664550781,0.20874655,2330033.98082102,2374785.50993885,2206758.4151286,2172308.62711478,2242554.41169343
219.090728759766,5.62437,2463242.50330173,1811118.90786862,2864956.77145846,1856547.69262086,2339883.56256225
219.097221374512,0.21743195,1515959.38425434,3108581.11543626,2344603.11532161,1969325.68047314,1699663.86169538
219.109451293945,6.5968891,NA,186819.339286937,NA,NA,NA
220.100486755371,0.21743195,NA,256071.882143482,NA,NA,NA
220.90983581543,6.41099635,4161715.96245858,NA,3398642.63662644,3142766.22866341,3359553.58383619
220.971099853516,1.3411453,350371.513179062,400266.096289588,391244.47457193,402189.495573539,559515.637948809
221.103408813477,0.21306811,NA,NA,201347.599287029,NA,NA
222.004928588867,1.8425113,NA,NA,NA,854152.600446611,NA
222.00537109375,0.9305409,1195842.46731286,769879.440835129,1029233.56861242,888352.553814071,1162030.26298106
222.055114746094,2.86901585,1298025.72720302,6055821.8884176,14102504.4055183,12930883.2829536,2005518.94314534
222.091537475586,2.7544799,1872438.86951901,1350594.39025951,1418486.65379691,1251251.57496075,999388.374065911
223.052276611328,6.7139676,87394.53801784,NA,NA,NA,NA
223.058547973633,1.4427338,903860.104349855,732575.096368645,1032673.70705697,947024.819637037,783561.767406891
223.094757080078,6.8915565,NA,NA,206413.350109778,NA,NA
223.095207214355,6.6530373,469813.122214478,317237.200180161,176981.965228091,426694.040967896,335301.733868717
223.11633682251,0.156881885,1984573.07479828,1257748.1804789,1929341.42300418,1393565.06393183,2365325.88585718
223.126113891602,0.44214284,1190295.38318739,1230056.86122409,973889.908922285,1325052.6146283,1601604.51320082
223.134994506836,0.67121413,2106496.70878874,2287818.8236933,1939954.73284143,2718360.15276823,1200329.69016018
223.15022277832,1.1466491,2589264.87107008,4239310.83834552,4133723.84844702,3899240.36371439,3769399.17085846
223.162506103516,1.8511556,7863827.03108989,4617132.90851738,7103354.69831616,7468127.99287799,10469700.6973601
223.177963256836,5.1619433,773559.568400165,9747506.1609791,5980550.89851598,8990110.36280243,6546156.24209271
223.180221557617,6.9460033,1189195.95711199,1693498.38545174,763993.398158534,527798.012165769,NA
224.088165283203,0.390297175,308737.368220775,183186.162504474,NA,NA,NA
225.108612060547,1.1444883,390957.956534374,488059.283833592,438075.940049721,636638.154525001,490155.352836223
226.048004150391,3.696913685,384574.728371955,230634.281750549,458088.300726118,251936.542663877,457609.699022813
226.109588623047,6.6902076,220499.355792028,332812.44102078,303178.443011628,123581.919787756,303695.776517345
226.988220214844,4.4098544,345845.921670094,2790906.79445848,2854270.5658559,1094969.40505679,2264114.71430167
227.106216430664,6.68135305,251406.897649644,339765.308784532,334042.663707631,266320.778321449,292004.061593721
