"mz","rt","peaktable_1_6a93145d1bc48e797ae1f779eae404e0 intensity","peaktable_2_2ad96385d4e11b01c12368cf109cff67 intensity"
200.004730224609,3.7982168,121320.674514614,83040.4258869732
200.023147583008,8.8056604,129367.189721411,91279.1708395783
200.042434692383,28.730642,75350.3247039216,NA
200.05950164795,22.7382425,4091945.92730227,3486076.30483504
200.078788757325,13.328951,140509.679447582,85316.9823778473
200.095855712891,21.988354,91991.7375202128,6368821.36571626
200.200996398925,0.85374159,3119799.88145242,3688622.76799483
200.996723175049,14.196743,561538.055630633,1468826.71930012
201.062847137451,20.6160785,1962065.90946564,1342420.60390405
201.099258422852,14.240281,632112.536817203,584687.714388758
201.159805297852,0.55661437,93110.8384340179,319703.172596037
201.204364776611,0.84941951,619946.68673927,679313.71158045
201.997051239014,27.535252,191261.0401016,79405.3405027504
202.000106811523,2.0942192,84016.6514406006,79071.9996589454
202.055511474609,13.878682,176978.097512223,NA
202.092483520508,11.793052,188880.278654638,394171.712042851
202.128845214844,13.218832,257785.043173595,271330.108658657
202.21662902832,0.983100115,11406309.818298,13065219.6546073
202.969375610352,6.0867819,59032.5307681407,95725.6959272113
202.99430847168,5.99411755,227331.896731873,205041.443255978
203.034706115723,0.345537006,213328.365463689,137408.645502007
203.065605163574,0.79865383,133458.017361559,NA
203.112854003906,9.8311864,186494.438801971,126300.989013651
203.220092773438,0.98492295,1327281.9465567,424617.575317136
204.052436828613,11.300296,83484.0757688648,91024.8919076964
204.088832855225,16.5319565,122654.442735937,223998.818174532
204.090057373047,8.4871909,NA,108749.22581826
204.113891601562,15.093584,207978.597881018,294276.605210401
204.123050689697,0.759929735,111812.83600471,113190.364562736
204.913135528565,25.4966625,1063034.75007564,1010338.09441206
204.954147338868,24.901866,259560.745795664,237482.676064798
204.994346618652,2.6742053,NA,121640.436624826
204.995132446289,19.325924,367987.223088555,375418.636165331
205.110553741455,16.1317035,76137.2458239281,98676.830883442
205.12255859375,4.7443326,NA,118879.792969793
205.947280883789,25.484953,299882.448548268,NA
205.984344482422,12.040656,285401.388598122,181856.951397704
206.0775680542,10.8484615,214712.469530403,562352.001296906
206.969589233398,24.404422,174798.55515938,NA
206.969734191895,25.145447,688980.316272923,182053.32907793
206.989135742188,27.253675,160696.748105031,113688.380786602
206.991928100586,10.029247,368474.551250871,1065927.59603434
207.066680908203,0.11533087,NA,177331.502549574
207.078468322754,3.2917721,85298.3934196404,65226.8597867931
207.080848693847,1.6206867,94794.4963006644,81762.0251908057
207.173141479492,0.6938935,NA,122068.907294516
207.983982086181,12.037037,252569.608219207,352671.914610842
208.075138092041,5.1324223,112180.083093479,100113.862125937
208.180877685547,4.712607,114538.626661108,102199.199396942
208.990844726562,12.403176,321567.465792184,176597.919790335
209.065006256103,0.28822475,NA,78022.4245344287
209.184295654297,0.78693955,689507.204217588,288387.965079218
209.201278686523,8.4468692,279449.03621041,195586.555688152
210.110168457031,12.476333,213257.306754796,809632.659756564
210.160186767578,0.66279341,100102.825210253,555282.084235801
210.196640014648,0.72085528,181427.072993398,268920.778546519
211.113525390625,0.88119188,243520.117218011,NA
211.155502319336,0.612115505,NA,73985.9140986047
211.180549621582,0.770897625,NA,90642.0051228292
211.21696472168,12.1912245,454444.478193067,703669.491114652
212.037506103516,24.4579475,691771.431584497,310456.019474515
212.118316650391,0.83266935,NA,197152.026264636
212.139450073242,0.75001541,69909.9535402901,180849.430403622
212.17578125,0.72949952,68336.2125709846,80168.3861319622
212.212203979492,0.51478955,26909.5229189929,73663.4654130668
212.220359802246,24.9108735,494732.145771356,349284.165996098
212.2373046875,2.0275186,199205.367335496,134693.140791117
212.985961914062,1.324452,61720.3281030211,54879.0351159779
213.109786987305,0.85374159,281572.201766071,279590.774336191
213.123489379883,0.68783891,NA,86422.0048299186
213.159683227539,0.40639977,NA,58803.2771535059
214.040145874023,8.3172602,220403.374178584,110681.215405192
214.06254196167,20.6182395,545974.077291564,223785.183719601
214.155136108398,0.597160135,54019.9816055899,244591.332663931
214.252960205078,1.9937422,160575.895662903,165077.644461991
215.065963745117,13.787518,193159.298302262,135242.823456794
215.089210510254,0.80297567,108146.273606379,NA
215.125534057617,8.8617575,166292.899518344,176415.017746945
215.139190673828,0.7122109,57330.5962335188,NA
216.027984619141,8.69505165,64244.2296269529,66629.8307471016
216.038318634033,0.407275995,84249.5230408506,NA
216.090805053711,16.5271885,2170560.91390588,83639.9611763154
216.128807067871,0.87686997,215249.06122303,NA
216.196075439453,0.79000938,112183.066713474,NA
216.232273101806,3.59006315,NA,87945.787636435
216.981330871582,0.71548897,NA,50435.6116706902
217.019622802734,15.39598035,863851.466504314,241441.701432087
217.041732788086,16.836379,168864.990075465,226440.993134179
217.050964355469,0.26352145,126129.506467538,75889.8556744348
217.074905395508,17.886656,235982.107264573,248835.674178752
217.081253051758,0.84790175,NA,228008.765793428
217.094039916993,16.2657,196722.613294562,NA
217.104766845703,9.91903275,299670.824082536,334916.901637481
217.115936279297,15.768798,73962.4835684184,216171.823899609
218.070068359375,21.162827,1900217.42051631,1994820.47367002
218.106414794922,21.7705905,170982.872363422,6030516.27119247
218.211585998535,0.86842995,2035443.72590525,1847142.68060092
218.936599731445,16.0839635,195237.060879849,222684.854744295
218.940773010254,13.583795,NA,192387.657394332
219.030151367188,21.6406625,425473.153086565,147820.842453511
219.090469360352,6.1455093,1660859.10633753,246074.140164949
219.096862792969,0.775796375,406784.2415443,287261.389175007
219.109794616699,14.997453,140145.089588089,339298.375189217
219.126800537109,12.977699,139490.438159889,263653.221258279
219.214920043945,0.873715515,260804.190512663,231442.96416442
220.093826293945,17.496956,564862.237223941,299855.087362735
220.130180358887,24.352556,177999.397297011,NA
220.970977783203,12.087341,623165.664226655,610720.542301846
221.1236038208,16.503564,107445.592710229,NA
221.176223754883,0.664805405,NA,74390.2740527813
222.004585266113,21.703093,2521633.24412614,NA
222.005035400391,22.822524,203645.548447155,2719042.49353781
222.055057525635,21.5388525,179054.495660737,5241736.5553496
222.091430664062,21.074435,1695030.09839432,988369.340127891
222.221946716309,24.579745,NA,199290.355397801
222.907741546631,16.747347,210775.01648109,177578.585441605
222.966506958008,25.804993,160791.323075967,110429.881403081
223.008277893066,24.091068,217414.669857665,481062.917148044
223.010848999023,10.247208,305202.818767053,211941.983811091
223.058410644531,13.767126,247936.946260544,280913.479960196
223.088684082031,4.9676124,83279.2633533742,NA
223.09481048584,9.39159425,510015.806223342,136441.015678265
223.109893798828,0.40488947,569735.897366899,NA
223.119918823242,0.51339328,399176.967113883,341003.147407786
223.133502960205,0.58594154,866668.916462666,322434.338451185
223.141906738281,0.34409132,NA,193336.582880224
223.157440185547,1.459416355,1359176.92609153,142566.937006708
223.165092468261,2.587482,505037.219784329,484239.043191738
223.177352905273,10.413916,2548365.47345997,NA
223.182056427002,21.79818,2049171.19369967,NA
223.191726684571,0.73228684,455304.09255314,777324.961165556
223.21711730957,14.85975,62108.2233914462,222237.212968361
223.229354858398,1.3174082,NA,163063.772695395
223.238349914551,1.4278917,NA,606732.823276266
223.253547668457,1.780575,NA,329069.537330753
223.265174865723,2.0870125,NA,312661.223067269
223.292060852051,2.95532315,NA,553169.552063076
223.305671691895,5.3770835,NA,455875.829539358
223.313831329346,12.4595497,NA,2361205.14036377
223.321838378906,20.333152,NA,6292708.41216056
223.343692779541,28.9901385,NA,450836.006394357
223.345653533935,27.602942,NA,412844.954959242
223.884269714355,24.793413,286939.714905119,199805.164410475
224.026016235352,17.9610905,237777.489535772,143446.086528517
224.050888061523,28.996101,70090.2969958045,56479.2648799231
224.055541992188,27.974381,NA,82155.7351572049
224.088081359864,4.31170565,203196.296712679,159402.790641283
224.128295898438,25.562644,NA,226221.287301327
224.175819396972,0.805345825,126825.53397188,115480.597897125
224.198539733886,0.98483369,771372.2408682,696165.016917371
225.010444641113,10.059502,196615.28921373,195837.609290181
225.029487609864,8.70135204,52909.2183318239,139258.273267272
225.029647827148,0.70715145,NA,78571.0387541018
225.058517456055,14.972565,160531.34337446,NA
225.072357177734,0.32276957,75172.2367550396,NA
225.108467102051,20.540441,2025744.04504776,1597861.732695
225.159896850586,0.59626347,NA,100630.896092787
225.179130554199,0.70715145,NA,98432.3638815401
225.196212768555,0.73447898,87648.3241442875,63106.5100701385
225.232559204102,24.4735755,459990.895468136,NA
225.881423950195,24.634579,185222.007144845,239940.599668949
225.915657043457,27.538683,80874.9892508174,NA
225.998085021972,2.0990818,53999.4408321856,101587.007186072
226.023063659668,24.1083565,246174.91205625,NA
226.040267944336,8.4166691,109082.285943761,NA
226.047927856445,4.69819875,160005.274001521,175434.048223043
226.109245300293,8.5290443,211018.004847729,203214.548396723
226.111511230469,12.6146665,126834.821001216,156618.588464965
226.120189666748,11.268933,406491.40140586,595074.096657653
226.154953002929,0.74914334,NA,113673.182953545
226.191493988037,0.806595345,67954.2733023252,141738.678954961
226.227905273438,0.42425338,NA,47892.0476625062
226.987930297852,14.635439,354153.80012696,386622.892521561
227.106048583984,12.905855,216419.279848947,187371.892468231
227.175338745117,0.59013385,NA,104569.436794748
227.212127685547,0.85958143,91157.6980164751,NA
228.055637359619,0.56093655,236930.052512871,77853.0044906356
228.23235321045,8.1466627,98909.2235773598,177855.368918037
