"mz","rt","peaktable_1_6b90e8c752d870980615d885cf6a8cb2 intensity","peaktable_2_80d57e6d648fd28c65648c9d92fff215 intensity","peaktable_3_a485962c3a167c541bcf4e4788708084 intensity","peaktable_4_e9b20dded3643d2f592ac7a5948734bf intensity","peaktable_5_941bba646ae229c9ebaeb2164492f0cc intensity"
200.059661865234,5.7756419,2611179.48230935,9972851.16201825,3046341.09542011,2614112.406982,5600152.68002363
200.096008300781,4.2153543,1223681.3666851,5305240.89058644,1951735.97596725,2107973.72932538,5583076.54897354
200.201145172119,0.226033725,1433345.67252191,NA,1429883.24646666,1365788.13984443,1561330.4449223
200.996891021729,1.0364399,1458397.23642338,1107626.24896331,1322773.60801936,1343653.31203895,1687537.37872511
201.063056945801,6.6011837,1084739.43884259,1123328.33774812,1064054.81977267,360153.28841979,566841.854568161
202.216796875,0.25628812,6792435.21955434,6595613.20073057,7064779.91576874,7104749.60297155,7245784.84007151
203.220237731934,0.254123925,818920.241246672,755059.505252194,739236.844150598,NA,843861.230687927
204.99528503418,4.141879,737020.92801998,440205.305867428,406052.704660544,2930942.79892629,603678.918563301
206.077743530273,6.7792143,606978.71193978,660024.429632785,481721.928081134,542008.005965858,598168.935859314
206.992225646972,5.0214282,1424447.72302846,1123042.36045116,2797389.74031206,490050.605935825,1097697.44839511
208.990901947021,6.47798785,NA,NA,2193991.55863189,1783565.42025504,NA
210.110336303711,0.23469375,515169.301889996,636904.073421177,612802.870783855,1040569.9200456,571164.298428899
214.062782287597,6.61630355,1002789.57086763,818291.733037647,1167004.47890556,1138183.47138863,564732.693630442
215.089279174805,1.5745522,690677.084880981,504347.489811195,532308.047011126,447659.48770624,441127.375024545
215.125701904297,0.22602744,1192154.91109002,1323918.15636661,1243199.19044855,1271479.94892094,1340303.18516898
217.104873657227,5.4817382,5410040.1485128,4665936.07851338,7323527.0203459,5122730.27124715,6300050.8096162
218.070343017578,6.6076593,820403.316533182,464258.313377931,811990.839841194,760522.635415502,835467.731913399
218.106552124023,4.39040065,385682.87286089,1014902.76704457,2287018.15186369,3235688.60551174,3040639.93652827
218.211730957031,0.232524955,1228974.74829944,1308642.68729589,1243324.24942189,1354759.84662876,NA
219.090591430664,5.1338112,1747383.69340276,2355093.18475866,2647388.37998587,3275403.08884706,2590094.83589249
219.097045898438,0.20874467,NA,NA,518371.191216586,NA,NA
220.909744262695,6.436943,NA,4223067.42675172,3668925.52121593,NA,4355182.58990224
220.971206665039,2.5902368,549069.589253348,334554.748664591,422206.062735098,283036.903425689,709517.254708884
222.005237579346,1.71285195,1873608.75849303,824308.906630124,1230602.62200372,1034825.20291519,966476.805626627
222.055206298828,3.4244072,1236566.77384021,1702302.76420808,1468409.32904653,1665445.21360811,10157568.5738843
222.09162902832,3.1218507,1294055.60556732,1033651.4282295,1768197.95425406,1588484.40496218,1381288.91888782
223.058609008789,1.2849698,384446.290459173,691084.912249983,1076182.8405253,701880.700367264,840477.828682434
223.11799621582,0.20441697,2359884.56555927,2472565.06753996,993893.856190458,822786.409569198,1156129.5871511
223.12434387207,0.41836507,1627129.47562042,1668311.80875823,1090073.16312324,1916278.30122738,2075175.08052889
223.134429931641,0.63015709,2146536.66745788,2157634.25297821,2021041.06139586,1580623.52930323,2302097.30697226
223.150100708008,1.081814,3736931.67899854,2771910.10576542,3596810.90083978,3133056.45179967,2748639.88855487
223.161331176758,1.7085157,9615012.35900737,5571040.49806576,7794328.78783848,2601997.66466663,3756993.20490712
223.171817779541,2.96625805,11431360.6707695,5457424.56545793,6263053.94113309,6203703.27964541,5019932.51676263
223.180164337158,6.0328087,1238530.79106394,2811182.4248716,2113048.16555187,2170078.30258378,1357903.0976352
225.108627319336,1.358427,905184.217296972,459749.03389876,489452.529715622,794947.620571854,505411.699512811
226.988067626953,3.4114403,1059478.87691802,2109806.77682586,1099400.01150525,1463360.52203746,1054619.10490341
227.200668334961,2.3784565,845592.725096348,1167678.79282312,802393.961527942,1489420.91210222,292181.338314129
229.141326904297,6.573074,374652.475764093,581111.415248011,460100.687060834,409605.102105732,429873.475073624
230.190582275391,2.23366785,743758.986682876,714577.271513486,700805.089402641,668572.545810165,723395.848589062
233.190246582031,5.1835117,14263557.1345388,7698977.00151526,10694276.8243477,19306265.0905937,10357713.0489945
