"mz","rt","peaktable_1_c6fb17d91318cbba3e1bac33fd03d3db intensity","peaktable_2_e5403b7645c2614ca60f49306234eec1 intensity","peaktable_3_a3c0385ce2f62dbf8e35264cf2ef93af intensity","peaktable_4_68caf61b8706e9080f378cf2753f1697 intensity","peaktable_5_70b2632776666e849be07047c1ac9d25 intensity"
200.004844665528,0.428184315,132811.717466126,122711.957182044,98660.8556767843,157947.909494411,253114.68359122
200.023681640625,0.55434997,472670.269015432,634604.874603854,579357.28252612,245836.88847922,620827.332550981
200.059463500977,1.1102015,9217629.6201668,5097787.18932486,4223149.32702714,8944940.04448725,6751814.95162014
200.065582275391,2.1381542,NA,62613.4533846296,NA,45054.2847847236,NA
200.078521728516,0.65091616,125234.355941561,NA,NA,NA,NA
200.079261779785,0.48869321,101357.662486746,167783.371803936,120752.571384083,106701.033849822,122766.153956278
200.095977783203,1.37375365,2298034.72100155,286670.923024198,2772932.22376275,258096.354616477,2485402.22799252
200.200889587403,2.12904625,66777.2383172037,113898.866501567,72484.8298867976,NA,119204.537680543
200.237365722656,2.0990275,218396.611215979,135149.310993695,205208.390710669,187416.325252424,157789.435547845
200.997039794922,0.79946811,357950.217264152,456182.364857946,872902.594352948,203331.524557406,823344.3269931
201.002365112305,0.42987181,191326.904985145,113012.908049208,122678.742433494,115045.044350565,146503.460930726
201.062835693359,0.891336235,393606.983224923,364313.964458644,239190.410807793,659356.839432891,226142.43014567
201.099533081055,2.0267642,445389.781483113,447615.79742099,449936.310894843,267052.248362449,482211.050744833
202.05590057373,2.0448872,NA,NA,96715.2841120253,NA,83030.3102526426
202.092918395996,2.01695645,124978.007583041,132782.457851854,99601.9330091713,95013.5293569966,125376.262903348
202.129180908203,2.0291075,526213.794797016,525648.732558633,493857.899744882,464176.438697655,479261.116948823
202.21711730957,0.64872762,140804.333126032,228355.543828981,181699.037800418,214375.928820624,300060.993718264
202.943801879883,1.81772005,598927.366971419,527001.017876391,583343.14100345,220483.19960741,340032.842596101
