"mz","rt","peaktable_1_b7395992449dfd483a9252839606b237 intensity","peaktable_2_9088c9bb03b996378922c647cf074a20 intensity","peaktable_3_dcc2459184097df9045af661688f5c8a intensity","peaktable_4_8e9143ab92bc68bcc4b903e5bf1abe62 intensity","peaktable_5_160fc6371b5d43397f685b6d8d718fdb intensity"
200.004837036133,0.27559961,117347.099098446,140318.685470057,119168.108404025,135237.407371374,120664.161861475
200.023681640625,0.38066174,651119.500897155,279773.734931468,312097.215686925,410609.925839901,297903.121306557
200.059478759766,1.1355851,4727040.09217047,3486339.91362135,5417412.30411127,2697905.87628763,3649514.17149775
200.065582275391,2.0823089,NA,76678.7424605162,NA,1976347.36261312,109638.581670137
200.07926940918,2.0568619,127830.192733863,102255.651062567,144545.051484193,116214.411957135,315570.901896303
200.095935821533,1.51155785,5201622.57336938,2778063.80559094,5325044.15044744,284823.794361198,2783167.09952251
200.200881958008,2.2022045,NA,90947.9237282706,112692.288851438,95182.2346332153,105697.559992041
200.237365722656,1.30918779,140892.458513183,209070.914644365,206020.445000322,202193.506718618,190026.84923152
200.997039794922,0.62556933,1004351.93888823,802133.931712463,1537873.04548394,735992.115702895,1007306.51222865
201.002365112305,0.423787975,125297.297716073,106774.372213324,121124.326904794,123161.296118426,116776.049758663
201.062957763672,1.235880555,325491.417780909,687609.723623209,909430.499768064,229683.655170382,373964.092530251
201.099548339844,2.0113329,473388.882548098,298740.39694153,541866.464829856,249800.622212861,226823.40382228
202.092918395996,2.01961165,126317.596402957,134159.115430692,168273.533403702,87381.8093041688,88682.3434516806
202.129180908203,2.0310298,565002.191421459,486755.302299832,501764.844180697,465921.501744271,465924.873062302
202.21711730957,1.9567523,195572.230629407,263975.977592314,234561.176507976,154079.528003484,231869.87173834
202.943817138672,1.7704207,518264.687410571,548068.956343841,175456.644692227,477952.073204885,284410.015145343
202.969436645508,1.9899904,50412.2926560883,720756.913822171,73122.2248410944,92435.8430429426,386805.313800047
202.994277954102,0.458193775,97669.3110494641,104048.989699355,88369.0403508323,152393.808318167,118587.020282398
203.068817138672,2.09940445,NA,135734.234535071,168105.992598176,150625.018568901,139398.419301334
203.113082885742,1.8416823,521170.075219242,778555.010319328,716524.414815468,455694.098201089,935961.653852346
204.052673339844,2.0414973,127651.515695026,422415.581813741,99119.4825683789,118722.360411642,61414.3644329232
204.089462280273,2.0319718,NA,NA,NA,NA,134683.080779637
204.995529174805,1.0945743,671469.665322134,526150.060313791,1170302.16453244,471042.539768487,500220.044748663
205.110595703125,2.0117935,NA,NA,NA,158138.04693708,NA
205.947372436523,2.0122,962128.456521478,997261.47883416,949730.171578923,946392.668127673,972734.938465292
206.077529907227,0.47566024,702172.476345886,871165.363636427,927335.402536569,893430.81907608,957383.932253131
206.992095947266,1.010242485,288452.553720218,188443.828618406,589551.151154107,229835.591872335,199467.754976283
