"mz","rt","peaktable_1_c4b3914dd90735a33a45120d8df44ff0 intensity","peaktable_2_1b1006ad6cb397288f90b10ef7667b13 intensity","peaktable_3_f4ec1ff27c5417004501f1ddda634b82 intensity","peaktable_4_bf770f1972fab092cbade6df4f371c50 intensity","peaktable_5_4140721552f8eb635981a4efba2257d6 intensity"
200.023529052734,7.0471521,391953.984235631,328569.247173754,336599.617893223,353744.027792002,367628.622291198
200.059631347656,3.2904175,2613792.71351381,3418255.6472204,3722329.21767286,11074849.7835068,3626556.3957958
200.078994750977,6.648712,NA,182818.112394215,NA,167799.185049695,173750.803044025
200.096069335938,3.60376805,2075643.46908601,298748.012490399,263445.596939998,1678479.03599634,1681624.68281606
200.20133972168,0.226029135,1461619.65736709,1362949.802663,NA,1394421.14210571,1366656.45671844
200.9970703125,1.0904562,2336458.44961826,1691647.54305303,1204183.22863135,1260076.54888055,1275312.63190759
201.002456665039,0.092049931,276995.716430336,NA,NA,NA,NA
201.063079833984,7.0169023,228699.08402395,553054.359098235,733450.707413419,263908.244378133,453357.281165404
201.073604583741,6.6227806,190217.626730413,NA,NA,230645.174502997,NA
201.099624633789,6.5622742,NA,233350.059377942,NA,NA,NA
202.092628479004,6.6659917,247527.889960408,247534.356734454,223539.232580662,211023.978977213,115812.523129713
202.216827392578,0.25628405,6198525.91278035,6545537.0728168,6692457.02761732,5866779.29181585,6439735.65245431
202.969528198242,0.20874075,NA,1476206.74590114,1362107.07179742,1413358.76832533,1443886.71601402
202.994384765625,0.37082509,170192.297628486,127401.018577504,282753.511252099,327505.072513196,262855.341668137
203.113204956055,6.5406593,450204.335714275,558994.278276991,566474.62449262,560545.331627134,553602.301792165
203.220138549805,0.256288615,842433.115782242,764701.684525971,767213.256616491,NA,741910.939444526
204.052749633789,6.65303425,179371.415657317,290675.458782053,201459.792943619,118954.075951704,270270.648559164
204.913330078125,6.5320189,NA,494890.638127372,NA,NA,NA
204.995239257812,2.3352352,464992.332229669,573338.122473893,357051.393549439,2565921.37895846,396993.752649881
205.122512817383,1.388685,NA,NA,NA,745005.933399046,NA
205.947448730469,6.5104085,803112.529081539,508273.825880828,NA,617592.945360228,NA
205.984718322754,6.66383645,303905.785541018,361036.973479734,323310.678428822,134287.166498287,273646.132145916
206.077968597412,0.463754215,346545.793356006,501749.454886757,558979.002035475,645636.932420092,645199.836100809
206.9921875,4.86367345,483070.727616872,246417.175696885,331745.296676471,446039.12253516,1164064.58970393
207.98412322998,6.61413865,306310.782478361,359622.723006247,212002.163977384,361524.518034375,314994.899705215
