"mz","rt","peaktable_1_a0d25fef67532f42501b07e27fab8747 intensity","peaktable_2_153437c90d223ce0da85ff0c50cf80e3 intensity","peaktable_3_efa6f65476b7343e5481e46df0b1846c intensity","peaktable_4_42513057733130ad46e2365204c0487c intensity","peaktable_5_040d565d8e12fd6f47dce862588b8ddb intensity"
200.023380279541,2.089024,462190.851446315,410920.979993365,497920.72590515,593089.553088283,431603.419185973
200.059616088867,1.3318919,5544493.15759914,3321850.84018526,5364566.24649544,5450776.7049234,3095858.66647337
200.09602355957,1.7941829,4409522.20748701,2934813.08660062,4003990.0793475,3066779.29426518,6644481.92655431
200.996971130371,1.432848115,438829.871878812,466591.078893589,1466867.96155052,1865546.34553887,1404790.794065
201.063003540039,1.85632705,1474778.42384404,NA,269179.45068049,456237.497219932,1463714.60545898
201.063064575195,1.52603275,592752.996231393,978816.749744135,523759.075831359,889264.117963338,878429.503632284
202.129005432129,2.0226892,334081.428781242,372882.81896892,NA,NA,NA
202.969619750977,2.0034058,772013.418304308,NA,684071.542404938,666550.614257533,669696.276374737
203.113006591797,1.6846288,NA,661618.613621904,511770.639428555,861876.585805713,NA
203.11311340332,1.755854,1008331.31952464,585594.219033986,1660645.63332768,820610.265269787,864391.646381556
204.995208740234,0.72939799,762783.818958871,741933.862957399,484623.962114363,433839.220750728,579288.214090107
205.947311401367,2.01413325,1069384.70718917,NA,1105571.82413132,979700.22357732,948799.41960817
206.077758789062,0.42210413,817270.869237938,816095.789419308,867357.901464676,886046.954225158,920522.949316569
206.992118835449,1.7983375,1181561.50564232,1106759.84515537,1084193.71753561,2579970.1938287,1450043.02369167
208.990882873535,1.79916715,738089.26321472,617928.173910381,603219.752017161,591973.397311128,2785774.32298687
209.201553344727,1.59555475,NA,369438.708260647,581823.222839793,NA,599075.980995726
210.110244750977,1.783992,880386.294873227,1666985.52145369,3565595.34015169,1876385.579181,675040.121626688
211.217056274414,1.7868654,1933162.73222715,495065.730044155,913101.340717269,569026.741087924,1912218.00763214
214.06275177002,1.7087288,660564.866645838,380694.503804132,626857.31598989,440242.694904794,411228.260508424
214.253189086914,0.516257085,780189.482338695,543079.118531789,492667.710525305,567277.346874703,460535.082182556
215.125705718994,1.07638455,502406.843900904,420490.769071477,556950.536265172,1031062.11819081,495938.912908276
216.091033935547,2.0236564,NA,423358.481113029,488144.538488529,504992.533419589,511193.475492892
217.104881286621,1.8257899,12334426.6289977,4007783.91801056,13832816.2521894,13840253.6131442,13437284.7833066
218.070217132569,1.67010915,232529.128498429,196594.403360313,576843.744800485,877862.898373452,427415.325843962
218.106704711914,1.7971233,4743808.39138538,1389925.55683174,1865018.24643094,3320535.91985953,1961000.96124918
219.090637207031,1.8084971,613381.214745844,830512.677193035,2947203.39475735,1168983.01983297,1160125.93207467
219.109680175781,2.0291105,NA,NA,NA,330270.558322479,NA
219.127014160156,1.7945387,512094.412417899,1030399.81682543,310128.408273654,462802.937858346,963757.416302185
220.971221923828,1.4222688,425230.259865185,501051.268304531,417231.768555875,646853.773988653,810627.378989232
222.005302429199,0.92493804,671728.989088219,669567.847748233,884095.40805084,418326.811068,480119.400844326
222.055252075195,1.7336057,1994861.9826096,2094337.52483803,14710257.8844262,1665549.17338623,2526820.243062
222.091594696045,1.5673123,2329218.37757989,3264058.70747644,1595771.03197809,2076851.90038463,2262915.6829242
223.058502197266,0.47032831,1278305.33164922,1185707.60478937,1014723.74599963,1282470.73190071,1266877.62382593
223.094955444336,2.0957538,888208.261351782,327205.499556723,487815.454208534,566392.072187721,362695.907982469
223.129150390625,0.22861227,500787.583414995,490831.635339562,444339.723189361,527815.166078515,533432.853304735
223.143760681152,0.549488025,380503.154453911,700891.56441189,502997.429452699,480865.33785023,NA
223.151351928711,0.69786221,2998962.87517007,3320783.59451106,2873681.48401793,3236832.62603618,744984.421918435
