"mz","rt","peaktable_1_cd50ccb78452ec991ae0713c06eaa2e2 intensity","peaktable_2_1ce76f90ceb7b6eb61e97d80bf2b2758 intensity","peaktable_3_97941a35a927156f25f13ad8bbe6abfe intensity","peaktable_4_bc2c8b6bf21ec6153e480103a3c1b008 intensity","peaktable_5_b6fd2837c88205e51932742f87fa108c intensity"
200.0234375,2.0810772,424799.098622932,358495.909981337,485959.080488695,405317.222617877,468012.022089991
200.059646606445,1.3407347,5350261.08727507,4680106.24154527,5066323.86020779,5385700.2086735,5561651.9920008
200.096084594727,1.857562,5947543.80081795,2771848.85557104,2656767.76088231,3326631.47533181,3488979.49481793
200.996978759766,0.23738609,1025762.87669114,987564.996222779,940521.965510603,1269572.08262708,952111.177990244
201.063041687011,1.7581262,444387.220689772,898502.308624597,825241.718830919,536686.862648578,900923.331545018
202.128952026367,2.021791,NA,NA,NA,350871.624581911,NA
202.216796875,0.082421626,NA,NA,NA,NA,2483690.16295006
202.969604492188,1.9981151,NA,710787.477716182,603610.061677918,NA,795434.483441745
203.113128662109,1.7309436,568534.809001478,682255.608650673,867878.966876064,751948.722359531,643968.840573844
204.995254516602,0.70780256,381105.334725373,354102.118262626,730194.461404283,387350.482351493,795981.49197619
205.947357177734,2.0154208,NA,1074268.17286052,NA,933210.523495686,1002332.10597072
206.077819824219,1.295282715,828030.080387666,792543.124382721,482270.575923534,910935.989411721,839582.62332206
206.992172241211,1.6118132,1336384.51373034,969697.497401206,994310.407419323,930735.025179414,956951.468141249
208.990936279297,1.7874975,1850106.86754858,515336.263314839,561594.364328037,398566.918841061,589071.249113094
209.201354980468,1.5719286,511529.798594108,NA,740786.087713007,369162.774792447,NA
210.110321044922,1.6030895,1335674.48306522,1100482.28966625,1399083.60087347,1797770.99156095,1471974.54682874
211.217025756836,1.75373085,699844.111636619,483661.321386552,3585376.4188422,897998.589502407,1171131.84164154
214.062744140625,1.7387798,1065097.43038385,541530.410304087,1261639.14131382,602874.435599366,1257587.7966986
214.253158569336,0.49048917,403119.87057483,706079.917162523,842380.112164545,NA,734781.544299628
214.253242492676,2.0897143,510245.238570726,413256.373817208,516217.276456644,385735.289797362,573484.930307462
215.125701904297,1.30486905,580568.854313625,730900.812066978,706979.012245144,489243.944756109,469956.730847292
216.091003417969,2.0157869,472418.082889126,377163.522920554,371121.565899539,443093.008584092,442071.575875833
217.10489654541,1.603059,3859535.83869562,3416883.5872905,5093226.18008718,3778217.9824755,5203454.36252962
218.070327758789,1.6752817,858497.350571177,616114.208271914,899149.818182153,272308.951594006,486511.813320563
218.106750488281,1.6118132,4473937.87721653,1789187.02599825,2422503.88177744,2388610.53782689,2446224.30801652
219.090713500977,1.8540353,2921481.76098919,1324445.12200021,933045.190871673,1980979.21400316,1088933.86174874
219.110198974609,2.0548147,NA,NA,NA,NA,279930.509902475
219.127128601075,1.9039314,922378.908724683,922728.74199183,932712.448278186,719582.260038983,963809.897594694
220.909706115723,1.9503315,950317.663763491,NA,NA,NA,NA
220.971176147461,1.4477882,420894.660287319,1135620.71158226,407444.937288844,713716.412355022,507842.491115557
222.005294799805,0.99604633,568188.125414251,360788.088823164,400587.439036809,467357.471049312,554733.162147319
222.055282592773,1.7336431,13784493.7229067,11638369.8635561,2442458.50606116,1914666.55989469,6835918.34725953
222.091621398925,1.2379188,1835886.91567294,3187795.25811628,2186039.59038848,2598011.9629323,1587609.88278033
223.058540344239,0.473190785,1216562.93652971,952238.068663275,1256097.37368426,1326443.35127564,1237848.43636744
223.094997406006,2.08845085,459785.478849002,818498.090545827,859583.750995363,768869.612323921,865576.449837022
223.132461547852,0.2286319,NA,NA,422942.051970242,NA,NA
223.144599914551,0.4863006,NA,432037.525725195,NA,475294.11158775,NA
223.153388977051,0.68694079,3136525.88257066,2889458.73966738,3358130.88836279,2742437.36426041,3202742.40187259
223.167579650879,1.1358859,5861301.453447,5400465.02889402,5107230.5774895,3813996.85142339,5704852.14972657
223.182067871094,1.9013333,22844897.2317478,21854027.3500616,20958223.3775733,20965315.7651946,22680279.1823072
223.21696472168,1.5277246,NA,NA,224864.902836564,NA,NA
224.026290893555,1.9910333,665850.845589468,NA,641264.682608082,600559.396385786,NA
225.108703613281,1.33795065,720741.118628334,1187589.05448483,1388378.40116236,1367387.99025633,900047.235990431
226.988052368164,1.8227074,9925623.42732974,11205276.2846533,1449421.79822127,4625628.44552437,9075476.33143948
226.988189697266,1.993738,NA,12813730.0887125,NA,NA,NA
227.106407165527,2.0745116,639396.925585617,599739.577065987,754575.481040579,709290.107121961,708480.062590734
228.022033691406,1.7940941,2891059.26685729,1524668.61821067,1761373.13366438,1772656.89238795,1615123.01058694
229.141300201416,1.6041685,1094434.25351416,501814.134368986,728655.233573908,1395942.43227295,1446199.31482477
233.915161132812,0.091009177,486454.210749746,NA,NA,NA,NA
237.08317565918,1.4676431,528514.523143195,419022.647251551,NA,566588.082701766,294523.199861551
237.137634277344,1.9998185,385553.513154093,653585.104884166,533389.911966871,775603.685290731,680642.872019503
239.0707321167,2.081163,848375.881748275,718402.438007155,883035.474222164,415370.168254267,888963.421325814
239.107116699219,2.043872,677540.110418949,598540.973839288,728672.315799188,644334.094704958,650005.537955089
239.148902893066,0.21790461,NA,400157.220522593,NA,NA,NA
240.028015136719,0.37203689,413614.960796229,578522.454471604,364574.320137001,740058.568087284,1012022.62971473
240.028270721435,2.19307905,NA,NA,NA,NA,280804.044123378
240.065872192383,0.220057505,566599.931240177,291208.343996817,233664.062901187,409517.879244373,460332.192864746
240.180778503418,0.084467627,664468.273593504,436018.52144303,708904.360047149,707637.226852955,718730.555160066
241.025844573974,0.35707246,598747.968290705,742164.78783075,496392.749762119,636103.410181481,1065917.20569159
241.036197662354,1.71832385,260677.109652211,954467.808122018,721440.266897277,794518.030946014,1383333.36298132
241.049903869629,0.22545246,1783335.8056632,1023127.8124882,1240209.62479378,1191980.5493704,1097297.3189839
241.086166381836,1.7765547,12716187.4038501,11451792.525126,12418666.7959247,8390335.33030799,11566482.6604205
241.122512817383,1.5952905,10009958.7289153,2182848.34914561,10430494.178259,10346974.5074351,8091861.08840215
