"mz","rt","peaktable_1_1ca86a2dc32aa7b970404b23b4005027 intensity","peaktable_2_53a6936725880b6aeff49c15941591eb intensity"
200.004608154297,27.740823,124528.865410314,85286.2758454648
200.023071289062,9.95460895,123337.721242739,154217.100661131
200.03411102295,29.115259,85552.6621031811,NA
200.04216003418,0.22741603,44793.3055003691,NA
200.059349060059,26.6128615,5309915.53919808,NA
200.059417724609,0.8939112,4903535.41143393,1583804.69474259
200.07886505127,14.199485,103332.462832081,90147.2824146973
200.095809936523,22.053132,134308.576013736,7226496.52068012
200.200897216797,0.85933403,2961219.44466667,107469.336605894
200.996627807617,15.293985,663307.130993477,832454.041943429
201.062774658203,19.978511,278635.866710555,468958.422998455
201.099182128906,17.376591,125241.02749715,781283.957690122
201.15983581543,0.67267473,145807.869170802,72548.2873319942
201.204265594482,0.853391375,573079.595911849,690084.621312143
201.997055053711,27.784044,87266.3386964075,91132.3252451544
201.999900817871,3.1301229,102162.044941506,74762.4358652383
202.055648803711,15.180017,59550.8675405223,114226.767449612
202.092407226562,11.5223005,2042830.61918903,241292.887676064
202.128784179688,13.729684,231958.407617341,289622.511242335
202.21656036377,0.97261464,11578861.4419877,14883419.0254046
202.969207763672,6.6137568,48680.1511913904,100884.252701907
202.969421386719,5.1598742,NA,135708.385183355
202.994216918945,5.2522869,161748.236757109,105043.602177516
202.99454498291,8.4463374,79175.9502298914,NA
203.032272338867,0.26679021,50421.6737928712,NA
203.065498352051,0.7908583,NA,256785.511971816
203.112823486328,7.9536156,2496499.05054937,183803.775777701
203.21997833252,0.970453465,1500523.86590356,1432883.21691004
204.052398681641,11.8136325,156159.479085581,160500.341683416
204.055023193359,20.229195,963412.203155627,NA
204.113723754883,15.621584,256574.355406282,197662.158937383
204.123085021972,0.757950055,94443.5197465189,103619.513086916
204.9130859375,25.487232,1106037.08573651,1188901.54671072
204.994075775146,15.29209265,NA,104256.528270867
204.995071411133,11.991015,1474370.12800073,111829.380111034
205.051040649414,0.33996683,NA,88624.7741215811
205.110443115234,16.170715,253701.715092311,270674.148151409
205.122360229492,4.8390845,NA,1165551.42247461
205.947219848633,25.545801,191689.463237756,NA
