"mz","rt","peaktable_1_48cfeaa2b4a77273ce366caac107df72 intensity","peaktable_2_e643475138de5bbba29876333731f5d5 intensity","peaktable_3_329405a96fc3ecd6463545f5e357ecad intensity","peaktable_4_780c6675f627e794fefa6d6ff84ece8e intensity","peaktable_5_ec631491bb8bc4f620fbd7dcd84576a6 intensity"
200.059696197509,5.93990825,6103978.1026534,3086945.36375331,3424098.03964898,3100716.17671647,4384516.39254741
200.09602355957,4.51574765,1900270.00849895,1119525.39366478,2021985.68594418,1500434.18402054,5020099.45160438
200.201202392578,0.22604031,1395946.63632168,1409808.16927056,1410473.27745858,1321268.13993582,1416967.32382794
200.996917724609,1.37789,1384834.9931016,1704769.58492954,1557036.13277211,1988722.60554076,1773396.74935602
201.063095092773,6.5709616,1021110.56681796,1126939.0606716,284672.777615955,1022067.86117044,592665.625689845
202.216857910156,0.25629495,7041697.90034715,6791931.6670109,6653061.67260146,7082554.56706609,7014806.19362218
203.220275878906,0.25633639,782843.118570651,861539.153564782,818374.212990131,836586.484759526,740763.106652119
204.995300292969,3.0095302,3533924.26560077,426394.396670166,491911.50599382,496162.471502565,534565.349205423
205.122604370117,1.3930557,3225182.95924247,3609184.93344942,3772538.45513301,3459501.2645258,3022904.12990657
206.077758789062,6.7351572,746279.298435687,587359.519453077,722979.771407717,454459.669865205,298276.537747438
206.126037597656,1.3930138,NA,466618.702571999,NA,NA,NA
206.992172241211,4.67783735,2025794.20749847,1710877.40311754,304657.566485098,1403609.49354338,620405.336136002
208.991020202637,5.0927942,NA,1806739.85339429,883368.664452187,NA,1907616.90318788
210.110366821289,0.23037312,1630192.78819488,525208.499961217,2234752.25937393,505339.859332391,2063458.81978057
212.118591308594,0.22171487,4609449.59217707,3701599.85918904,3481155.1496921,2614973.82493893,2493983.45132958
214.06282043457,6.6227964,NA,NA,606303.3896776,977049.181913107,1123242.42912162
215.089340209961,6.5450288,404194.631522381,465417.809772703,520286.966546987,693163.125204197,705197.0949438
215.125743865967,0.22603852,1855521.1008144,2290733.25266186,2294655.21349722,433608.033884932,2115582.16684199
217.104904174805,4.9674528,4999768.13486678,4735914.11526158,3757183.07613487,10733203.4873528,4785717.75470736
218.070343017578,6.60333945,752289.668404619,246133.442855323,926651.642963022,815690.684577798,899051.324554996
218.106628417969,4.81831435,1538913.27109745,2780623.55144886,2041679.60816551,2378518.79400478,921669.926584885
218.211837768555,0.22608147,1308063.13469497,NA,1231824.16739219,NA,1071495.26244787
219.090606689453,5.47094475,2125032.71290923,3745982.36463471,1950809.20539245,604967.906024298,1910727.42253366
219.097091674805,0.21311495,8857007.1656634,13427348.4420952,11097461.4025673,8873836.59801731,7630319.71459953
219.126983642578,6.5060844,NA,NA,NA,1158962.85129744,NA
220.100433349609,0.20014878,NA,NA,963019.851631734,NA,NA
220.909774780273,6.3894068,3677215.61276494,3878411.99490415,4682044.43906461,4079895.2124519,4032456.24118471
220.971221923828,1.9419657,637018.326211642,624117.156750001,540157.821687429,465251.637949475,616535.741060345
222.005279541016,1.544304,941003.945058699,953932.866874312,1028113.51625719,940410.421322587,742701.328749187
222.055252075195,3.1780931,10817486.1020735,7907623.1353758,9512799.75997789,1809497.44119855,2268815.61382762
222.091651916504,2.87550925,1342121.26542601,1202571.36167564,1337836.8704902,1178478.93785671,1444115.6298402
223.058670043945,0.80520491,1102295.67609184,671087.879687405,743368.369708627,814281.086207006,631533.077919553
223.115524291992,0.10071436,1519736.67652748,2015214.71090494,1835071.98320333,1940685.48245237,2192528.83951632
223.124633789062,0.41621358,1339287.69018944,1639557.66127836,1287000.01079518,1316637.97728665,1416661.41901224
223.140232086181,0.831150855,1720737.37974056,2938096.55179978,3018705.4431109,3107675.17230163,2515616.5832519
223.151504516602,1.2244546,3903254.39519639,4570908.98351166,2877232.11885656,3826381.73432681,2614991.79762559
223.16227722168,1.7863272,8315024.54430224,8418433.79492007,6461932.36560468,5465231.3372565,8389133.44795752
223.177898406983,5.84266765,1497413.56805498,1393121.64547055,15826769.9837424,7949544.59065915,18810383.4997779
225.091293334961,1.38438895,NA,NA,518919.541097953,506059.380772991,NA
225.108673095703,0.86138905,566266.644397409,639740.970243914,823860.254289755,607776.412065566,589307.129460799
226.988098144531,4.2326467,1322759.70720731,2492282.05659938,1435487.39357245,1115659.37770275,1134121.5119813
227.106811523438,1.3886919,NA,1352540.08527103,1308304.63132558,1217537.96628281,1435213.94077896
227.200759887695,3.2947653,1029542.27834277,352469.364958799,360933.559625694,2052416.34989658,477250.484823235
229.081481933594,0.24765075,NA,1361195.8889816,1430968.43766993,1302627.55587964,NA
229.141403198242,1.3670779,524884.662165853,542020.142872927,376717.172294602,328526.617252384,464184.454558207
230.14469909668,0.24548804,NA,747649.004477382,NA,564208.452477386,NA
230.190567016602,1.73878905,351051.870260061,461222.479458337,511181.158837412,920470.182450002,369680.470157687
233.190307617188,5.57252995,4438311.82478249,17382484.1358189,2347193.82581378,4051623.32475602,2429961.85753861
234.185455322266,3.83070625,995795.266848694,1473038.58658762,3055491.89477213,939187.189020389,2465824.9489817
234.193580627441,3.9344399,1485969.600939,1154337.12681685,3438679.66682762,1596978.61950853,1182937.59892988
235.18877029419,1.3238566,NA,NA,NA,478146.676787086,NA
239.107009887695,6.5882048,630959.518389851,488199.110914562,714111.869394821,666915.703740939,457956.252973353
239.14916229248,1.30440705,347343.484824167,423304.18239584,484537.989098106,516455.957880705,464579.264973345
240.028007507324,0.67123463,615302.275528612,524355.616972024,351770.498482142,561823.049751119,507111.040339461
240.065650939941,7.2980621,501654.125024963,485255.700461412,NA,NA,NA
240.232498168945,0.33410387,1557357.42982864,1625080.13276705,1694568.67855272,1619426.63151081,1555771.13411257
241.025787353516,0.74471588,345186.053469567,859225.079897264,559212.969588509,646500.559006886,297974.015648671
241.036186218262,6.5018073,768576.3976275,1683599.83533469,628604.470191874,1671748.19272893,809884.099727739
241.049594879151,1.103428225,NA,NA,NA,596692.854668168,NA
241.049789428711,3.8371964,825633.653729573,376740.913863456,489105.270003894,411875.841541704,392635.205689199
241.086212158203,4.7794124,6586737.6523132,4586214.7498765,3918295.46469611,3316643.21227697,5019551.46008138
241.12255859375,5.02576855,7105709.347023,1255749.52768358,6681348.0673041,6930076.88452423,6580405.76055452
242.089508056641,1.3303638,613828.450591356,782754.056930007,493353.052863162,674440.291510401,445966.309436196
242.089614868164,6.6314263,NA,1810768.47907757,1806849.67879106,811941.203984902,1830330.31615257
242.125991821289,6.5795805,788143.03637353,899143.826980767,1016551.63500293,861136.119297777,850381.662061218
243.1201171875,0.23469495,NA,NA,NA,NA,296201.368415496
244.139465332031,4.2845266,1286478.32260153,442889.578551687,NA,NA,1721875.78266969
244.139736175537,6.5795677,430378.326252372,2200267.80802838,2012917.51404956,1752690.85677916,1760534.00531816
244.954216003418,5.7022141,2640033.03572536,6253972.27616402,3259191.94587182,5668961.9148473,5343508.27835134
245.09984588623,6.5860736,427287.815810522,431651.982808313,415296.751071275,307558.281635712,467066.823506672
245.136154174805,0.22171778,NA,594856.166009065,NA,NA,NA
245.153915405273,1.3930298,734822.305418859,958118.090480953,1053792.99030169,NA,NA
246.923858642578,6.5320373,731483.113472781,754700.319169082,NA,1237770.74618916,NA
246.951278686523,5.9788302,1544092.29150429,1733856.82333265,1722267.75033511,3326454.54945364,1516059.59803078
247.004211425781,2.7717827,449465.450217608,369793.399744751,1062871.9038267,1244281.09046416,493607.988038489
247.128368377685,0.23686612,NA,1080974.22428144,936150.978463575,NA,NA
250.118957519531,0.3513786,1917913.3499437,6028209.57147574,6857877.77906165,6073465.72255857,6375301.12832666
250.949371337891,6.5147487,1126782.58413975,1247791.80644962,1341277.99734718,895561.334666388,1386505.43281274
251.046844482422,3.2947494,2205969.2298899,1981096.78478595,364623.314055586,488005.900853554,1761409.31730957
252.138549804688,0.28654665,2266492.0887781,2780201.38774651,2682892.06848496,2470878.1534848,2266244.60212834
254.823875427246,6.3634662,7282497.34358727,6644859.27159802,6525930.96551233,6191519.33678761,4577289.07614379
255.231964111328,1.7690803,NA,NA,1084479.57587733,NA,NA
256.820922851562,6.29863215,8533162.2990026,6249941.14964828,7848070.95561173,8617002.70718153,7744612.54847649
257.136169433594,0.23900632,NA,736266.396874186,NA,NA,NA
258.110473632812,1.0083862,NA,NA,699650.32744843,693121.247609658,801035.354865976
258.137939453125,5.3909959,1820227.99738506,1006090.23572677,3063342.25088514,2766532.45993322,1717869.39466171
258.817962646484,6.3288792,NA,1986578.17088953,NA,4532928.16252783,4206718.3040741
259.115463256836,2.6853454,525828.584358802,571443.229713073,625203.50859351,587592.933664219,551918.505324051
259.205856323242,2.8539086,725029.348470467,738002.111964239,476451.907129402,1295327.09884791,645182.280595309
260.1171875,5.3304736,1263172.94695941,480654.657825701,6404724.96388237,2276997.22532212,6931147.05597677
260.123657226562,0.2130896,5111568.1208684,7567998.22917232,6499625.29491805,5043051.66163466,4420772.48643713
260.153533935547,4.1678596,1885427.86699181,2608442.49017081,6846346.09023752,5522726.28018744,2754239.75039849
261.12060546875,6.5363432,409721.326274374,868287.99269752,949044.195919027,459254.403836485,NA
261.131134033203,3.7442583,5459227.55500238,7138623.7570543,6929139.74434759,11586669.7918938,6001086.72232952
261.185211181641,1.3930243,20504405.2738836,22530287.0459234,23956465.2201263,20918478.7145333,19623521.5257685
261.221588134766,0.30385413,908102.911259546,942694.204654679,1218519.67857909,1150366.6938904,1189334.14042911
262.134460449219,2.2790605,407315.456037562,715165.176140346,654223.195959939,763676.510078132,277165.154836923
262.134704589844,4.0489886,535077.248660629,NA,1143171.7471113,NA,NA
262.188537597656,1.3930243,3333110.13389877,4099866.57366396,3953922.59221335,3780581.06954231,3353622.86212889
262.981735229492,5.77133515,6648584.60651248,5787575.50281227,9169413.21585134,3836446.66141313,11832482.5291723
263.985107421875,6.4931632,NA,NA,1645577.23044077,1325524.95171971,1525236.43807159
266.129211425781,0.26711931,NA,NA,846617.021990894,775418.361308327,NA
266.284240722656,3.3034095,2157251.50932873,NA,3009490.01179705,NA,1977113.80350329
268.26383972168,0.49402255,545149.435604564,NA,NA,509024.738856123,681958.991523951
268.300018310547,1.7690422,NA,NA,NA,1346751.37444908,947492.375457464
268.998718261719,5.74541275,22459174.2458581,17923899.0585984,78058301.3925994,16650004.3162097,17000876.156616
270.002044677734,4.7556436,806770.026185717,2366906.93332367,787756.624670828,534350.528852623,820883.789304997
271.002960205078,6.4931177,4458668.34241421,4511531.67376662,4298555.63120203,4568154.21818597,3921892.95937325
271.154182434082,1.75394005,896160.144568828,655492.395903563,806603.981254079,756520.263449414,486936.612544978
271.973236083984,6.4974442,2577890.38172298,2729805.89123811,2002790.94233082,2743115.35057115,2330774.47215946
273.167510986328,1.1034421,543898.707262079,419712.119163093,508576.694543123,444181.652233106,525173.164775626
275.15966796875,0.3384308,18181931.643608,26781109.182152,26234487.3623082,22019670.5482663,22298967.9989338
276.1630859375,0.3427343,2234809.86511822,3409738.95305637,3153178.84060864,2661065.39443537,2937460.2404139
277.105102539062,0.21739583,NA,428076.41641841,NA,NA,NA
277.1259765625,6.5493507,542669.329744632,774763.18004913,832972.127902756,598456.124733415,657935.364007344
